Country,Code,Year,Illiteracy_rate,Literacy_rate,Population,Illiteracy_Population
Venezuela,VEN,1990,10.0,90.0,12687083.0,1268708.3
Venezuela,VEN,2001,7.0,93.0,12687083.0,888095.81
Venezuela,VEN,2007,5.0,95.0,12687083.0,634354.15
Venezuela,VEN,2009,4.0,96.0,12687083.0,507483.32
Venezuela,VEN,2011,5.0,95.0,12687083.0,634354.15
Venezuela,VEN,2015,3.0,97.0,12687083.0,380612.49
Venezuela,VEN,2016,3.0,97.0,12687083.0,380612.49
Vietnam,VNM,1999,10.0,90.0,76287454.0,7628745.4
Vietnam,VNM,2000,10.0,90.0,77154016.0,7715401.600000001
Vietnam,VNM,2009,6.0,94.0,86460023.0,5187601.38
Vietnam,VNM,2019,4.0,96.0,97173778.0,3886951.12
Vietnam,VNM,2022,4.0,96.0,99680656.0,3987226.24
World,OWID_WRL,1990,25.09298,74.90702,12687083.0,3183567.1997733996
World,OWID_WRL,1991,24.713493,75.28651,12687083.0,3135421.36910919
World,OWID_WRL,1992,24.30568,75.69432,12687083.0,3083681.7953144
World,OWID_WRL,1993,23.897552,76.10245,12687083.0,3031902.25720816
World,OWID_WRL,1994,23.498528,76.50147,12687083.0,2981277.75113824
World,OWID_WRL,1995,23.08815,76.91185,12687083.0,2929212.7536645
World,OWID_WRL,1996,22.703682,77.29632,12687083.0,2880434.97939606
World,OWID_WRL,1997,20.711563,79.28844,12687083.0,2627693.1884072903
World,OWID_WRL,1998,19.531303,80.4687,12687083.0,2477952.62259149
World,OWID_WRL,1999,19.194,80.806,12687083.0,2435158.71102
World,OWID_WRL,2000,19.020767,80.97923,12687083.0,2413180.49652661
World,OWID_WRL,2001,18.71399,81.28601,12687083.0,2374259.4439117
World,OWID_WRL,2002,18.35981,81.64019,12687083.0,2329324.3333423
World,OWID_WRL,2003,17.885712,82.11429,12687083.0,2269175.12658096
World,OWID_WRL,2004,17.55272,82.44728,12687083.0,2226928.1551576
World,OWID_WRL,2005,17.545242,82.45476,12687083.0,2225979.4150908594
World,OWID_WRL,2006,17.574707,82.42529,12687083.0,2229717.66409681
World,OWID_WRL,2007,16.988152,83.01185,12687083.0,2155300.94440616
World,OWID_WRL,2008,16.614449,83.38555,12687083.0,2107888.93462267
World,OWID_WRL,2009,16.391289,83.60871,12687083.0,2079576.4401998702
World,OWID_WRL,2010,15.772797,84.2272,12687083.0,2001107.84681151
World,OWID_WRL,2011,15.58918,84.41082,12687083.0,1977812.2056194
World,OWID_WRL,2012,15.398582,84.60142,12687083.0,1953630.8791630599
World,OWID_WRL,2013,15.09687,84.90313,12687083.0,1915352.4273020998
World,OWID_WRL,2014,14.713577,85.28642,12687083.0,1866723.72625891
World,OWID_WRL,2015,14.321091,85.67891,12687083.0,1816928.70167553
World,OWID_WRL,2016,13.999863,86.00014,12687083.0,1776174.2386962897
World,OWID_WRL,2017,13.822968,86.17703,12687083.0,1753731.4232234398
World,OWID_WRL,2018,13.562492,86.43751,12687083.0,1720684.61690836
World,OWID_WRL,2019,13.452057,86.54794,12687083.0,1706673.63679731
World,OWID_WRL,2020,13.252518,86.74748,12687083.0,1681357.9582499398
World,OWID_WRL,2021,13.072456,86.92754,12687083.0,1658513.3428584803
World,OWID_WRL,2022,12.844643,87.15536,12687083.0,1629610.51846369
World,OWID_WRL,2023,12.643967,87.35603,12687083.0,1604150.58778261
Yemen,YEM,1994,63.0,37.0,12687083.0,7992862.29
Zambia,ZMB,1990,35.0,65.0,7786163.0,2725157.05
Zambia,ZMB,1999,32.0,68.0,9740013.0,3116804.16
Zambia,ZMB,2002,31.0,69.0,10647955.0,3300866.05
Zambia,ZMB,2010,17.0,83.0,13965592.0,2374150.64
Zambia,ZMB,2018,28.867699,71.1323,17973574.0,5188557.241862261
Zimbabwe,ZWE,1992,16.0,84.0,10702697.0,1712431.52
Zimbabwe,ZWE,2019,6.7724533,93.22755,15271377.0,1034246.8755919408
